variable_pair,correlation,avg_var1,avg_var2,min_var1,max_var1,min_var2,max_var2
Arm Length vs Leg Length,0.929,49.6,78.33,39.39,59.43,62.7,94.49
Chest vs Waist,0.927,101.75,89.81,77.08,153.94,64.07,164.3
Height vs Arm Length,0.913,172.15,49.6,140.86,197.51,39.39,59.43
Height vs Leg Length,0.91,172.15,78.33,140.86,197.51,62.7,94.49
Height vs Torso Length,0.901,172.15,64.98,140.86,197.51,51.37,79.32
Hip vs Thigh,0.892,102.31,53.88,80.68,166.85,37.69,84.22
Waist vs Hip,0.88,89.81,102.31,64.07,164.3,80.68,166.85
Chest vs Bicep,0.851,101.75,30.4,77.08,153.94,19.13,55.81
Chest vs Hip,0.848,101.75,102.31,77.08,153.94,80.68,166.85
Bicep vs Thigh,0.822,30.4,53.88,19.13,55.81,37.69,84.22
Height vs Shoulder Breadth,0.748,172.15,35.82,140.86,197.51,28.63,44.32
Height vs Chest,0.415,172.15,101.75,140.86,197.51,77.08,153.94
Height vs Waist,0.389,172.15,89.81,140.86,197.51,64.07,164.3
Height vs Hip,0.31,172.15,102.31,140.86,197.51,80.68,166.85
